Player_Name,Team,Pos
Caleb Jones,CHI,D
Ethan Bear,CAR,D
Rasmus Andersson,CGY,D
Gabriel Carlsson,CLS,D
Kyle Capobianco,ARI,D
Liam O'Brien,ARI,C
Austin Czarnik,SEA,C
Dakota Joshua,STL,LW
Max Willman,PHI,LW
Gustav Forsling,FLA,D
Jake Walman,STL,D
Anthony Mantha,WAS,RW
Michael McCarron,NSH,C
Rasmus Ristolainen,PHI,D
Chad Ruhwedel,PIT,D
Erik Gustafsson,CHI,D
Brett Kulak,MON,D
Colin Miller,BUF,D
Jordan Martinook,CAR,LW
Justin Schultz,WAS,D
Devin Shore,EDM,C
Matt Grzelcyk,BOS,D
Laurent Dauphin,MON,C
Haydn Fleury,SEA,D
Patrick Brown,PHI,C
Ryan Carpenter,CHI,C
Anton Blidh,BOS,LW
Justin Dowling,VAN,C
Jani Hakanpaa,DAL,D
Joel Armia,MON,RW
Mark Pysyk,BUF,D
Riley Sheahan,SEA,C
Justin Holl,TOR,D
Michael Sgarbossa,WAS,LW
Brayden McNabb,VGK,D
Gregory Hofmann,FA,LW
Scott Mayfield,NYI,D
Chris Wideman,MON,D
Mark Jankowski,BUF,C
Cody Ceci,EDM,D
Radek Faksa,DAL,C
Brad Richardson,CGY,C
James Neal,STL,RW
Alex Goligoski,MIN,D
Ian Cole,CAR,D
Jakub Voracek,CLS,LW
Ryan McDonagh,TB,D
Andy Greene,NYI,D
Ryan Reaves,NYR,RW
Nick Foligno,BOS,LW
Colton Sceviour,EDM,RW
Zach Bogosian,TB,D
Michael Del Zotto,OTT,D
Jake Muzzin,TOR,D
Matt Martin,NYI,LW
Robert Bortuzzo,STL,D
Nick Leddy,DET,D
Ryan Ellis,PHI,D
Calvin de Haan,CHI,D
Travis Hamonic,VAN,D
David Savard,MON,D
Tyler Myers,VAN,D
Jay Beagle,ARI,C
Marco Scandella,STL,D
Paul Byron,MON,C
Jordie Benn,MIN,D
Alexander Edler,LA,D
Keith Yandle,PHI,D
Blake Comeau,DAL,LW
Kyle Turris,EDM,C
Nate Thompson,PHI,C
Marc Staal,DET,D
Jack Johnson,COL,D
Duncan Keith,EDM,D
Loui Eriksson,ARI,RW
Olli Maatta,LA,D
Nick Seeler,PHI,D
Greg Pateryn,ANH,D
Jamie Oleksiak,SEA,D
Logan Shaw,OTT,RW
Andy Andreoff,NYI,C
Josh Leivo,CAR,LW
Dylan DeMelo,WPG,D
Joonas Donskoi,SEA,RW
John Klingberg,DAL,D
Patrik Nemeth,NYR,D
Greg McKegg,NYR,C
Radko Gudas,FLA,D
Jarred Tinordi,NYR,D
Tyler Johnson,CHI,C
Brenden Dillon,WPG,D
Kyle Burroughs,VAN,D
Jordan Oesterle,DET,D
Ross Johnston,NYI,LW
Trevor van Riemsdyk,WAS,D
Joel Hanley,DAL,D
John Hayden,BUF,C
Robert Hagg,BUF,D
Will Butcher,BUF,D
Tucker Poolman,VAN,D
Connor Clifton,BOS,D
Martin Frk,LA,RW
Ben Hutton,VGK,D
Jaycob Megna,SJ,D
Kurtis MacDermid,COL,D
Andrej Sustr,TB,D
Buddy Robinson,ANH,RW
Ryan Pulock,NYI,D
Marcus Pettersson,PIT,D
Sam Lafferty,CHI,RW
Jack Eichel,VGK,C
Jonas Siegenthaler,NJ,D
Nicolas Meloche,SJ,D
Erik Cernak,TB,D
Nicholas Merkley,SJ,C
Travis Dermott,TOR,D
Colin White,OTT,C
Jeremy Lauzon,SEA,D
Thomas Novak,NSH,C
Lukas Vejdemo,MON,C
Will Borgen,SEA,D
Christian Wolanin,LA,D
John Marino,PIT,D
Matt Roy,LA,D
Beck Malenstyn,WAS,C
Josh Mahura,ANH,D
Riley Stillman,CHI,D
Garrett Pilon,WAS,C
Gabriel Vilardi,LA,C
Casey Mittelstadt,BUF,C
Timothy Liljegren,TOR,D
Radim Simek,SJ,D
Zack MacEwen,PHI,C
Matt Luff,NSH,RW
Zach Aston-Reese,PIT,C
Nikita Zaitsev,OTT,D
Michal Kempny,WAS,D
Ethan Prow,BUF,D
Troy Stecher,DET,D
Dante Fabbro,NSH,D
Kale Clague,MON,D
Dylan Gambrell,OTT,C
Kasper Bjorkqvist,PIT,RW
Tyler Benson,EDM,LW
Andrew Peeke,CLS,D
Riley Damiani,DAL,C
Rafael Harvey-Pinard,MON,LW
Simon Benoit,ANH,D
Jake Christiansen,CLS,D
Kristian Reichel,WPG,C
Trey Fix-Wolansky,CLS,RW
Reese Johnson,CHI,RW
Joel Kiviranta,DAL,RW
Benoit-Olivier Groulx,ANH,C
Gabriel Fortier,TB,LW
Nils Lundkvist,NYR,D
Jesse Ylonen,MON,LW
Ryan Merkley,SJ,D
Ty Smith,NJ,D
Jacob Bryson,BUF,D
Scott Reedy,SJ,C
Marian Studenic,DAL,RW
Kiefer Sherwood,COL,LW
Karson Kuhlman,SEA,C
Robin Salo,NYI,D
Jonah Gadjovich,SJ,LW
Jake Leschyshyn,VGK,C
Isaac Ratcliffe,PHI,LW
Gustav Lindstrom,DET,D
Jackson Cates,PHI,C
Matt Kiersted,FLA,D
Radim Zohorna,PIT,RW
Jack Quinn,BUF,C
Braden Schneider,NYR,D
Hendrix Lapierre,WAS,C
Jake Neighbours,STL,LW
Cam York,PHI,D
Victor Soderstrom,ARI,D
Thomas Harley,DAL,D
Lassi Thomson,OTT,D
Ville Heinola,WPG,D
Tobias Bjornfot,LA,D
Nolan Foote,NJ,LW
Brayden Tracey,ANH,LW
Shane Pinto,OTT,C
Kaedan Korczak,VGK,D
Artemi Kniazev,SJ,D
Samuel Fagemo,LA,LW
Vladislav Kolyachonok,ARI,D
Nick Robertson,TOR,LW
Adam Raska,SJ,LW
John-Jason Peterka,BUF,RW
Lukas Reichel,CHI,RW
Tyce Thompson,NJ,C
